Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
22-Jun,"30,673.14","33,156.31","33,270.83","30,495.14",-,-7.03%,-0.0703,100,-7.03
22-May,"32,991.97","33,045.95","34,113.40","30,635.76",3.01B,0.04%,0.0004,,0.04
22-Apr,"32,977.21","34,740.89","35,492.22","32,913.15",7.22B,-4.91%,-0.0491,,-4.91
22-Mar,"34,678.35","33,813.48","35,372.26","32,578.73",9.22B,2.32%,0.0232,,2.32
22-Feb,"33,892.60","35,151.47","35,824.28","32,272.64",7.36B,-3.53%,-0.0353,,-3.53
22-Jan,"35,131.86","36,321.59","36,952.65","33,150.33",8.90B,-3.32%,-0.0332,,-3.32
21-Dec,"36,338.30","34,678.94","36,679.44","34,006.98",8.41B,5.38%,0.0538,,5.38
21-Nov,"34,483.72","35,833.65","36,565.73","34,424.44",7.23B,-3.73%,-0.0373,,-3.73
21-Oct,"35,819.56","33,930.70","35,892.92","33,785.54",6.77B,5.84%,0.0584,,5.84
21-Sep,"33,843.92","35,387.55","35,475.40","33,613.03",6.66B,-4.29%,-0.0429,,-4.29
21-Aug,"35,360.73","34,968.56","35,631.19","34,690.25",5.66B,1.22%,0.0122,,1.22
21-Jul,"34,935.47","34,507.32","35,171.52","33,741.76",6.71B,1.25%,0.0125,,1.25
21-Jun,"34,502.51","34,584.19","34,849.32","33,271.93",6.83B,-0.08%,-0.0008,,-0.08
21-May,"34,529.45","33,904.89","35,091.56","33,473.80",6.61B,1.93%,0.0193,,1.93
21-Apr,"33,874.85","33,054.58","34,256.75","32,985.35",6.89B,2.71%,0.0271,,2.71
21-Mar,"32,981.55","31,065.90","33,259.00","30,547.53",9.79B,6.62%,0.0662,,6.62
21-Feb,"30,932.37","30,054.73","32,009.64","30,014.97",6.77B,3.17%,0.0317,,3.17
21-Jan,"29,982.62","30,627.47","31,272.22","29,856.30",8.22B,-2.04%,-0.0204,,-2.04
20-Dec,"30,606.48","29,797.50","30,637.47","29,599.29",8.18B,3.27%,0.0327,,3.27
20-Nov,"29,638.64","26,691.28","30,116.51","26,691.28",7.92B,11.84%,0.1184,,11.84
20-Oct,"26,501.60","27,940.63","28,957.90","26,143.77",8.51B,-4.61%,-0.0461,,-4.61
20-Sep,"27,781.70","28,439.61","29,199.35","26,537.01",10.05B,-2.28%,-0.0228,,-2.28
20-Aug,"28,430.05","26,542.32","28,733.35","26,534.38",7.51B,7.57%,0.0757,,7.57
20-Jul,"26,428.32","25,879.38","27,071.33","25,523.51",8.27B,2.38%,0.0238,,2.38
20-Jun,"25,812.88","25,342.99","27,580.21","24,843.18",9.82B,1.69%,0.0169,,1.69
20-May,"25,383.11","24,120.78","25,758.79","22,789.62",8.01B,4.26%,0.0426,,4.26
20-Apr,"24,345.72","21,227.38","24,764.77","20,735.02",9.88B,11.08%,0.1108,,11.08
20-Mar,"21,917.16","25,590.51","27,102.34","18,213.65",15.60B,-13.74%,-0.1374,,-13.74
20-Feb,"25,409.36","28,319.65","29,568.57","24,681.01",7.05B,-10.07%,-0.1007,,-10.07
20-Jan,"28,256.03","28,638.97","29,373.62","28,169.53",6.27B,-0.99%,-0.0099,,-0.99
19-Dec,"28,538.44","28,109.74","28,701.66","27,325.13",5.14B,1.74%,0.0174,,1.74
19-Nov,"28,051.41","27,142.95","28,174.97","27,142.95",4.98B,3.72%,0.0372,,3.72
19-Oct,"27,046.23","26,962.54","27,204.36","25,743.46",5.72B,0.48%,0.0048,,0.48
19-Sep,"26,916.83","26,198.26","27,306.73","25,978.22",5.09B,1.95%,0.0195,,1.95
19-Aug,"26,403.28","26,879.86","27,175.59","25,339.60",6.24B,-1.72%,-0.0172,,-1.72
19-Jul,"26,864.27","26,805.86","27,398.68","26,616.21",5.27B,0.99%,0.0099,,0.99
19-Jun,"26,599.96","24,830.16","26,907.37","24,680.57",5.54B,7.19%,0.0719,,7.19
19-May,"24,815.04","26,639.06","26,689.39","24,809.51",6.36B,-6.69%,-0.0669,,-6.69
19-Apr,"26,592.91","26,075.10","26,695.96","26,062.59",5.85B,2.56%,0.0256,,2.56
19-Mar,"25,928.68","26,019.67","26,155.98","25,208.00",6.63B,0.05%,0.0005,,0.05
19-Feb,"25,916.00","25,025.31","26,241.42","24,883.04",5.43B,3.67%,0.0367,,3.67
19-Jan,"24,999.67","23,058.61","25,109.62","22,638.41",7.19B,7.17%,0.0717,,7.17
18-Dec,"23,327.46","25,779.57","25,980.21","21,712.53",8.10B,-8.66%,-0.0866,,-8.66
18-Nov,"25,538.46","25,142.08","26,277.82","24,268.74",7.23B,1.68%,0.0168,,1.68
18-Oct,"25,115.76","26,598.36","26,951.81","24,122.23",8.37B,-5.07%,-0.0507,,-5.07
18-Sep,"26,458.31","25,916.07","26,769.16","25,754.32",5.26B,1.90%,0.019,,1.9
18-Aug,"25,964.82","25,461.63","26,167.94","24,965.77",5.64B,2.16%,0.0216,,2.16
18-Jul,"25,415.19","24,161.53","25,587.24","24,077.56",5.41B,4.71%,0.0471,,4.71
18-Jun,"24,271.41","24,542.09","25,402.83","23,997.21",7.41B,-0.59%,-0.0059,,-0.59
18-May,"24,415.84","24,117.29","25,086.49","23,531.31",7.28B,1.05%,0.0105,,1.05
18-Apr,"24,163.15","24,076.60","24,858.97","23,344.52",8.06B,0.25%,0.0025,,0.25
18-Mar,"24,103.11","25,024.04","25,449.15","23,509.06",8.87B,-3.70%,-0.037,,-3.7
18-Feb,"25,029.20","26,083.04","26,306.70","23,360.29",9.45B,-4.28%,-0.0428,,-4.28
18-Jan,"26,149.39","24,809.35","26,616.71","24,741.70",9.12B,5.79%,0.0579,,5.79
17-Dec,"24,719.22","24,305.40","24,876.07","23,921.90",6.59B,1.84%,0.0184,,1.84
17-Nov,"24,272.35","23,442.90","24,327.82","23,242.75",7.34B,3.83%,0.0383,,3.83
17-Oct,"23,377.24","22,423.47","23,485.25","22,416.00",7.30B,4.34%,0.0434,,4.34
17-Sep,"22,405.09","21,981.77","22,419.51","21,709.63",6.34B,2.08%,0.0208,,2.08
17-Aug,"21,948.10","21,961.42","22,179.11","21,600.34",6.15B,0.26%,0.0026,,0.26
17-Jul,"21,891.12","21,392.30","21,929.80","21,279.30",5.57B,2.54%,0.0254,,2.54
17-Jun,"21,349.63","21,030.55","21,535.03","20,994.22",7.21B,1.62%,0.0162,,1.62
17-May,"21,008.65","20,962.73","21,112.32","20,553.45",6.61B,0.33%,0.0033,,0.33
17-Apr,"20,940.51","20,665.17","21,070.90","20,379.55",5.39B,1.34%,0.0134,,1.34
17-Mar,"20,663.22","20,957.29","21,169.11","20,412.80",6.94B,-0.72%,-0.0072,,-0.72
17-Feb,"20,812.24","19,923.81","20,851.33","19,831.09",6.19B,4.77%,0.0477,,4.77
17-Jan,"19,864.09","19,872.86","20,125.58","19,677.94",6.48B,0.51%,0.0051,,0.51
16-Dec,"19,762.60","19,149.20","19,987.63","19,138.79",5.95B,3.34%,0.0334,,3.34
16-Nov,"19,123.58","18,158.24","19,225.29","17,883.56",2.11B,5.41%,0.0541,,5.41
16-Oct,"18,142.42","18,279.60","18,399.96","17,959.95",1.79B,-0.91%,-0.0091,,-0.91
16-Sep,"18,308.15","18,396.57","18,551.54","17,992.21",2.10B,-0.50%,-0.005,,-0.5
16-Aug,"18,400.88","18,434.50","18,668.44","18,247.79",1.70B,-0.17%,-0.0017,,-0.17
16-Jul,"18,432.24","17,924.24","18,622.01","17,713.45",1.82B,2.80%,0.028,,2.8
16-Jun,"17,929.99","17,754.55","18,016.00","17,063.08",2.35B,0.80%,0.008,,0.8
16-May,"17,787.20","17,783.78","17,934.61","17,331.07",1.88B,0.08%,0.0008,,0.08
16-Apr,"17,773.64","17,661.74","18,167.63","17,484.23",2.10B,0.50%,0.005,,0.5
16-Mar,"17,685.09","16,545.67","17,790.11","16,545.67",2.41B,7.08%,0.0708,,7.08
16-Feb,"16,516.50","16,453.63","16,795.98","15,503.01",2.49B,0.30%,0.003,,0.3
