Year,Month,Return percentage ,Amount ,Return,Constant,Returns
1900,1,"2.10
%",102.1,0.021,100,2.1
1900,2,"1.11
%",103.23,0.0111,,1.11
1900,3,"1.59
%",104.87,0.0159,,1.59
1900,4,"-4.42
%",100.24,-0.0442,,-4.42
1900,5,"-2.64
%",97.59,-0.0264,,-2.64
1900,6,"0.36
%",97.95,0.0036,,0.36
1900,7,"1.74
%",99.65,0.0174,,1.74
1900,8,"-1.98
%",97.68,-0.0198,,-1.98
1900,9,"4.02
%",101.6,0.0402,,4.02
1900,10,"8.22
%",109.95,0.0822,,8.22
1900,11,"6.39
%",116.98,0.0639,,6.39
1900,12,"3.28
%",120.81,0.0328,,3.28
1901,1,"2.90
%",124.32,0.029,,2.9
1901,2,"3.93
%",129.21,0.0393,,3.93
1901,3,"8.73
%",140.49,0.0873,,8.73
1901,4,"-4.72
%",133.85,-0.0472,,-4.72
1901,5,"10.29
%",147.63,0.1029,,10.29
1901,6,"-6.40
%",138.18,-0.064,,-6.4
1901,7,"1.71
%",140.55,0.0171,,1.71
1901,8,"-0.17
%",140.31,-0.0017,,-0.17
1901,9,"-0.80
%",139.19,-0.008,,-0.8
1901,10,"2.48
%",142.64,0.0248,,2.48
1901,11,"-1.28
%",140.82,-0.0128,,-1.28
1901,12,"2.47
%",144.3,0.0247,,2.47
1902,1,"1.19
%",146.02,0.0119,,1.19
1902,2,"0.45
%",146.68,0.0045,,0.45
1902,3,"3.74
%",152.17,0.0374,,3.74
1902,4,"0.08
%",152.29,0.0008,,0.08
1902,5,"-0.27
%",151.88,-0.0027,,-0.27
1902,6,"2.58
%",155.8,0.0258,,2.58
1902,7,"2.99
%",160.46,0.0299,,2.99
1902,8,"0.53
%",161.31,0.0053,,0.53
1902,9,"-2.86
%",156.71,-0.0286,,-2.86
1902,10,"-3.53
%",151.17,-0.0353,,-3.53
1902,11,"-1.97
%",148.19,-0.0197,,-1.97
1902,12,"5.43
%",156.24,0.0543,,5.43
1903,1,"-0.26
%",155.83,-0.0026,,-0.26
1903,2,"-3.59
%",150.23,-0.0359,,-3.59
1903,3,"-3.74
%",144.62,-0.0374,,-3.74
1903,4,"-1.57
%",142.34,-0.0157,,-1.57
1903,5,"-5.16
%",135,-0.0516,,-5.16
1903,6,"-4.20
%",129.33,-0.042,,-4.2
1903,7,"-2.80
%",125.71,-0.028,,-2.8
1903,8,"-1.98
%",123.22,-0.0198,,-1.98
1903,9,"-2.80
%",119.77,-0.028,,-2.8
1903,10,"0.78
%",120.71,0.0078,,0.78
1903,11,"5.08
%",126.84,0.0508,,5.08
1903,12,"2.12
%",129.52,0.0212,,2.12
1904,1,"-2.26
%",126.59,-0.0226,,-2.26
1904,2,"0.13
%",126.76,0.0013,,0.13
1904,3,"2.91
%",130.45,0.0291,,2.91
1904,4,"-1.69
%",128.25,-0.0169,,-1.69
1904,5,"0.58
%",128.99,0.0058,,0.58
1904,6,"4.57
%",134.89,0.0457,,4.57
1904,7,"3.79
%",140,0.0379,,3.79
1904,8,"4.81
%",146.73,0.0481,,4.81
1904,9,"6.24
%",155.89,0.0624,,6.24
1904,10,"5.76
%",164.87,0.0576,,5.76
1904,11,"1.30
%",167.01,0.013,,1.3
1904,12,"2.49
%",171.17,0.0249,,2.49
1905,1,"4.70
%",179.22,0.047,,4.7
1905,2,"3.14
%",184.84,0.0314,,3.14
1905,3,"-0.93
%",183.13,-0.0093,,-0.93
1905,4,"-4.63
%",174.66,-0.0463,,-4.63
1905,5,"1.49
%",177.26,0.0149,,1.49
1905,6,"3.45
%",183.37,0.0345,,3.45
1905,7,"4.02
%",190.75,0.0402,,4.02
1905,8,"0.62
%",191.93,0.0062,,0.62
1905,9,"1.70
%",195.19,0.017,,1.7
1905,10,"-0.24
%",194.72,-0.0024,,-0.24
1905,11,"2.76
%",200.1,0.0276,,2.76
1905,12,"3.75
%",207.6,0.0375,,3.75
1906,1,"-0.43
%",206.72,-0.0043,,-0.43
1906,2,"-2.16
%",202.25,-0.0216,,-2.16
1906,3,"-1.06
%",200.12,-0.0106,,-1.06
1906,4,"-2.34
%",195.44,-0.0234,,-2.34
1906,5,"1.63
%",198.63,0.0163,,1.63
1906,6,"-2.25
%",194.15,-0.0225,,-2.25
1906,7,"7.74
%",209.17,0.0774,,7.74
1906,8,"3.41
%",216.3,0.0341,,3.41
1906,9,"-2.67
%",210.51,-0.0267,,-2.67
1906,10,"2.39
%",215.54,0.0239,,2.39
1906,11,"-0.58
%",214.3,-0.0058,,-0.58
1906,12,"-2.51
%",208.93,-0.0251,,-2.51
1907,1,"-2.79
%",203.11,-0.0279,,-2.79
1907,2,"-9.46
%",183.89,-0.0946,,-9.46
1907,3,"0.89
%",185.52,0.0089,,0.89
1907,4,"-3.05
%",179.87,-0.0305,,-3.05
1907,5,"-2.78
%",174.87,-0.0278,,-2.78
1907,6,"4.27
%",182.34,0.0427,,4.27
1907,7,"-7.06
%",169.47,-0.0706,,-7.06
1907,8,"-0.59
%",168.47,-0.0059,,-0.59
1907,9,"-10.39
%",150.96,-0.1039,,-10.39
1907,10,"-5.33
%",142.92,-0.0533,,-5.33
1907,11,"5.70
%",151.06,0.057,,5.7
1907,12,"4.82
%",158.35,0.0482,,4.82
1908,1,"-3.12
%",153.41,-0.0312,,-3.12
1908,2,"4.64
%",160.52,0.0464,,4.64
1908,3,"5.91
%",170.01,0.0591,,5.91
1908,4,"5.88
%",180,0.0588,,5.88
1908,5,"0.59
%",181.07,0.0059,,0.59
1908,6,"4.12
%",188.53,0.0412,,4.12
1908,7,"4.73
%",197.45,0.0473,,4.73
1908,8,"-0.67
%",196.12,-0.0067,,-0.67
1908,9,"1.64
%",199.34,0.0164,,1.64
1908,10,"7.18
%",213.66,0.0718,,7.18
1908,11,"2.65
%",219.31,0.0265,,2.65
1908,12,"0.70
%",220.85,0.007,,0.7
1909,1,"-2.50
%",215.33,-0.025,,-2.5
1909,2,"1.75
%",219.1,0.0175,,1.75
1909,3,"4.87
%",229.76,0.0487,,4.87
1909,4,"3.70
%",238.25,0.037,,3.7
1909,5,"2.13
%",243.32,0.0213,,2.13
1909,6,"1.79
%",247.66,0.0179,,1.79
1909,7,"2.77
%",254.52,0.0277,,2.77
1909,8,"0.45
%",255.66,0.0045,,0.45
1909,9,"0.74
%",257.56,0.0074,,0.74
1909,10,"-0.14
%",257.21,-0.0014,,-0.14
1909,11,"1.54
%",261.17,0.0154,,1.54
1909,12,"-1.78
%",256.52,-0.0178,,-1.78
1910,1,"-3.21
%",248.29,-0.0321,,-3.21
1910,2,"2.85
%",255.37,0.0285,,2.85
1910,3,"-2.04
%",250.18,-0.0204,,-2.04
1910,4,"-1.26
%",247.02,-0.0126,,-1.26
1910,5,"-4.42
%",236.11,-0.0442,,-4.42
1910,6,"-4.64
%",225.16,-0.0464,,-4.64
1910,7,"2.87
%",231.63,0.0287,,2.87
1910,8,"1.11
%",234.2,0.0111,,1.11
1910,9,"5.03
%",245.99,0.0503,,5.03
1910,10,"0.31
%",246.75,0.0031,,0.31
1910,11,"-2.37
%",240.89,-0.0237,,-2.37
